iShares Russell 1000 ETF
Fund Holdings as of,"Mar 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"121,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MRSH","MARSH INC","Financials","Equity","60,530,493.40","0.14","60,530,493.40","347,477.00","174.20","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","60,464,678.50","0.14","60,464,678.50","105,431.00","573.50","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","60,206,753.88","0.14","60,206,753.88","437,931.00","137.48","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","59,617,086.65","0.14","59,617,086.65","605,557.00","98.45","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","59,437,523.55","0.14","59,437,523.55","264,343.00","224.85","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","58,408,664.82","0.14","58,408,664.82","1,023,098.00","57.09","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","58,302,267.48","0.13","58,302,267.48","288,468.00","202.11","United States","NASDAQ","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","58,120,576.11","0.13","58,120,576.11","492,589.00","117.99","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","57,972,390.13","0.13","57,972,390.13","1,117,217.00","51.89","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","57,423,300.54","0.13","57,423,300.54","529,833.00","108.38","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","57,363,047.55","0.13","57,363,047.55","278,529.00","205.95","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","56,490,402.15","0.13","56,490,402.15","381,563.00","148.05","United States","NYSE","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","56,040,803.64","0.13","56,040,803.64","115,782.00","484.02","United States","NYSE","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","56,040,937.20","0.13","56,040,937.20","391,320.00","143.21","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","56,004,071.76","0.13","56,004,071.76","136,552.00","410.13","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","56,001,326.92","0.13","56,001,326.92","334,796.00","167.27","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","55,696,339.06","0.13","55,696,339.06","1,073,354.00","51.89","United States","NYSE","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","55,138,630.10","0.13","55,138,630.10","206,938.00","266.45","United States","NYSE","USD","1.00","USD","-"
