case_id,ticker,cik,entry_date,sector,market_cap_at_entry,outcome_class,forward_return_3yr,sp500_return_3yr,current_10k_filing_date,prior_10k_filing_date,current_item1a_word_count,prior_item1a_word_count
MC-TNL-2022-03-31,TNL,0001361658,2022-03-31,,4714759913,trap,-0.2011,0.28,2022-02-23,2021-02-24,11726,12013
MC-HR-2022-03-31,HR,0001360604,2022-03-31,,6034111251,trap,-0.385,0.28,2022-03-01,2021-02-24,18226,15467
MC-AMRX-2020-09-30,AMRX,0001723128,2020-09-30,,3738194203,underperform,0.0876,0.3,2020-03-02,2019-03-01,28351,27224
MC-KBH-2022-03-31,KBH,0000795266,2022-03-31,,3745660567,winner,0.7949,0.28,2022-01-21,2021-01-22,11462,8190
MC-SON-2020-09-30,SON,0000091767,2020-09-30,,5265675533,underperform,0.0642,0.3,2020-02-28,2019-02-28,10361,8024
MC-ESE-2020-09-30,ESE,0000866706,2020-09-30,,7164529068,mixed,0.2964,0.3,2019-11-29,2018-11-29,6872,6448
MC-ALKS-2022-03-31,ALKS,0001520262,2022-03-31,,4865412897,mixed,0.255,0.28,2022-02-16,2021-04-29,34323,11238
MC-ACA-2020-09-30,ACA,0001739445,2020-09-30,,5130749768,winner,0.6308,0.3,2020-02-27,2019-02-28,14265,14241
MC-CECO-2020-09-30,CECO,0000003197,2020-09-30,,2137538250,winner,1.1907,0.3,2020-03-04,2019-03-07,8499,8701
MC-KRG-2020-09-30,KRG,0001286043,2020-09-30,,5331259142,winner,0.8497,0.3,2020-02-20,2019-02-27,16392,15991
MC-OII-2022-03-31,OII,0000073756,2022-03-31,,3676139657,mixed,0.4387,0.28,2022-02-25,2021-02-26,16821,15569
MC-FSLY-2022-03-31,FSLY,0001517413,2022-03-31,,4068357022,trap,-0.6358,0.28,2022-03-01,2021-03-01,29887,26442
MC-MCY-2022-03-31,MCY,0000064996,2022-03-31,,4894693120,underperform,0.0164,0.28,2022-02-15,2021-02-16,10170,10101
MC-UNFI-2022-03-31,UNFI,0001020859,2022-03-31,,2703549638,trap,-0.3376,0.28,2021-09-28,2020-09-29,10962,12636
MC-CXW-2022-03-31,CXW,0001070985,2022-03-31,,2154422835,winner,0.8165,0.28,2022-02-18,2021-02-22,15303,14637
MC-PECO-2022-03-31,PECO,0001476204,2022-03-31,,4617376134,underperform,0.0611,0.28,2022-02-16,2021-03-12,23047,17790
MC-NNN-2022-03-31,NNN,0000751364,2022-03-31,,7895986908,trap,-0.051,0.28,2022-02-09,2021-02-11,7960,7891
MC-KBR-2022-03-31,KBR,0001357615,2022-03-31,,4970535826,trap,-0.0899,0.28,2022-02-22,2021-02-25,21227,19712
MC-AVT-2022-03-31,AVT,0000008858,2022-03-31,,5294079260,mixed,0.1848,0.28,2021-08-13,2020-08-14,7928,8442
